#name,ID,R[pc],V[km/s],SurfDens[Msun/pc^2]
Wei,1,251.000,16.5000,800.760
Wei,2,290.000,17.3000,599.866
Wei,3,183.000,20.6000,1506.43
Wei,4,163.000,17.2000,951.645
Wei,5,278.000,14.8000,518.514
Wei,6,273.000,16.1000,537.682
Wei,7,311.000,15.6000,414.314
Wei,8,282.000,17.6000,634.383
Wei,9,317.000,22.5000,795.667
Wei,10,184.000,15.7000,746.818
Wei,11,275.000,12.3000,334.337
Wei,12,142.000,8.60000,396.528
Wei,13,209.000,25.4000,728.715
Wei,14,293.000,13.1000,370.779
Wei,15,240.000,25.6000,552.621
Wei,16,226.000,17.7000,312.344
Wei,17,241.000,16.5000,345.793
Wei,18,149.000,17.9000,570.792
Wei,19,262.000,19.2000,184.607
Wei,20,183.000,14.9000,378.397
Wei,21,224.000,11.9000,200.611
Wei,22,168.000,10.4000,283.290
Wei,23,249.000,9.10000,128.959
Wei,24,170.000,11.6000,348.299
Wei,25,244.000,20.5000,267.960
Wei,26,118.000,12.2000,287.797
Wei,27,225.000,9.90000,157.937
Wei,28,266.000,16.4000,142.261
Wei,29,161.000,12.4000,194.625
Wei,30,89.0000,10.1000,401.856
Wei,31,141.000,7.70000,160.108
Wei,32,119.000,11.9000,224.779
Wei,33,118.000,9.10000,228.605
Wei,34,79.0000,5.60000,255.621
Wei,35,113.000,9.50000,249.283
Wei,36,94.0000,12.9000,360.242
Wei,37,216.000,10.4000,136.127
Wei,38,211.000,7.70000,71.4966
Wei,39,55.0000,10.7000,835.843
Wei,40,204.000,14.4000,121.224
Wei,41,261.000,18.9000,117.373
Wei,42,53.0000,4.20000,284.642
Wei,43,168.000,8.70000,71.1593
Wei,44,70.0000,7.30000,325.577
Wei,45,229.000,11.7000,96.2009
Wei,46,75.0000,7.20000,225.283
Wei,47,134.000,11.9000,140.812
Wei,48,71.0000,5.90000,199.679
Wei,49,176.000,12.0000,64.8373
Wei,50,102.000,16.0000,193.041
Wei,51,149.000,10.0000,90.4644
Wei,52,97.0000,7.00000,106.981
Wei,53,227.000,18.1000,77.7675
Wei,54,109.000,7.10000,106.659
Wei,55,114.000,10.0000,97.5080
Wei,56,127.000,12.8000,124.521
Wei,57,128.000,10.6000,77.3446
Wei,58,238.000,11.8000,70.7451
Wei,59,220.000,6.20000,41.4959
Wei,60,35.0000,7.40000,1034.46
Wei,61,144.000,11.0000,48.5428
Wei,62,163.000,13.9000,95.1645
Wei,63,189.000,10.4000,56.2246
Wei,64,166.000,24.0000,72.8843
Wei,65,99.0000,10.7000,162.772
Wei,66,130.000,9.00000,59.5612
Wei,67,41.0000,2.40000,189.357
