Galaxy,RAD_PC,SIGV_KMS,MLUM_MSUN
M33_1,11.618796348571777,3.66646671295166,576.5133056640625
M33_2,17.287700653076172,3.6249194145202637,193.70399475097656
M33_3,33.33863067626953,3.2023284435272217,59.259971618652344
M33_4,18.729694366455078,4.019569396972656,263.4860534667969
M33_5,25.895000457763672,2.655229330062866,65.22077178955078
M33_6,14.467196464538574,2.650892972946167,118.01494598388672
M33_7,6.835442543029785,1.5484673976898193,220.57205200195312
M33_8,23.2222843170166,2.4533443450927734,167.26617431640625
M33_9,9.054035186767578,3.1051793098449707,482.4445495605469
M33_10,41.61112594604492,2.9883031845092773,34.86967468261719
M33_11,27.50425910949707,3.077486515045166,95.44125366210938
M33_12,39.80171585083008,4.399232864379883,179.52935791015625
M33_13,34.84825134277344,4.540178298950195,126.14693450927734
M33_14,30.971359252929688,4.78066349029541,171.03599548339844
